UNITNUMBER,TYPE,SERIALNO,ORDERNUM,READDAY,READING,METERTYPE,Yr,COSTCTCODE,DEPTCODE,MODEL,MODELYEAR,STATUS,READTYPE
5046,RFR UNIT    ,12864C5715,EDMR-0085257,2024-02-01,28799,HOUR METER,2024,COMPANY     ,CANXDI      ,SB3SR       ,1999,REPORTS ONLY,S
5357,RFR UNIT    ,11066C2116,EDMR-0085258,2024-02-01,20162,HOUR METER,2024,COMPANY     ,INTMDL      ,SBIIIWHISPER,2001,REPORTS ONLY,S
