SHOPID,CUSTOMERNAME,UNITNUMBER,MAKE,MODEL,MODELYEAR,COSTCTCODE,DEPTCODE,TYPE,OPENED,REPREASON,STATUS,ORDERNUM,COMPCODE,DESCRIP,LINETYPE,SumOfLINETOTAL
ABF         ,FLEETOPS      ,530428,CIMCX       ,UNITMODEL   ,2014,COMPANY     ,INTMDL      ,CAN REEFER  ,2024-10-03 13:31:00,GENREP      ,CLOSED      ,ABFR-0226129,TNX-001     ,WASH                                                        ,FEE         ,55
ABF         ,FLEETOPS      ,530429,CIMCX       ,UNITMODEL   ,2014,COMPANY     ,INTMDL      ,CAN REEFER  ,2024-01-15 12:50:00,GENREP      ,CLOSED      ,ABFR-0217119,TNX-001     ,WASH                                                        ,FEE         ,30
