SHOPID,UNITNUMBER,MAKE,MODEL,MODELYEAR,COSTCTCODE,DEPTCODE,TYPE,OPENED,ORDERTYPE,STATUS,ORDERNUM,REPREASON,COMPCODE,DESCRIP,LINETYPE,SumOfLINETOTAL
ABF         ,R6541,THRKN       ,SB210       ,2007,COMPANY     ,TLEAST      ,RFR UNIT    ,2024-12-30 13:59:00,REPAIR      ,CLOSED      ,ABFR-0228633,GENREP      ,082-DIA     ,NO PARTS-LABOUR ONLY - Diagnose Mechanical Refridgeration Un,LABOR       ,359.66
ABF         ,R6577,THRKN       ,SB210       ,2007,COMPANY     ,TLWEST      ,RFR UNIT    ,2024-03-14 14:36:00,REPAIR      ,CLOSED      ,ABFR-0219008,GENREP      ,UNR-TRL     ,Unit Retrieval- In Yard- Trailer Only                       ,LABOR       ,179.34
